data\heuristics
FileIndex, V(original), T(original), E(original), tms(original), V(leaf), T(leaf), E(leaf), tms(leaf), V(deg2), T(deg2), E(deg2), tms(deg2), V(both), T(both), E(both), tms(both)
144, 2834, 1000, 4207, 16, 2675, 967, 4048, 0, 2834, 1000, 4207, 0, 2648, 949, 4021, 2
145, 2865, 1000, 4267, 5, 2709, 959, 4111, 1, 2865, 1000, 4267, 1, 2662, 923, 4064, 2
146, 2984, 1000, 4484, 19, 2836, 968, 4336, 1, 2984, 1000, 4484, 0, 2808, 950, 4308, 2
147, 62174, 1015, 87562, 65, 62174, 1015, 87562, 27, 34327, 1015, 59132, 306, 33246, 1015, 57935, 767
148, 2048, 1024, 11264, 16, 2048, 1024, 11264, 1, 2048, 1024, 11264, 1, 2048, 1024, 11264, 0
149, 2048, 1024, 11264, 12, 2048, 1024, 11264, 1, 2048, 1024, 11264, 1, 2048, 1024, 11264, 0
150, 30190, 1184, 47748, 54, 30185, 1184, 47743, 16, 30190, 1184, 47748, 15, 30179, 1184, 47736, 50
151, 42008, 1242, 67572, 76, 41965, 1242, 67529, 17, 42008, 1242, 67572, 23, 41911, 1242, 67463, 129
152, 23527, 1256, 39628, 47, 23509, 1256, 39610, 12, 23527, 1256, 39628, 11, 23492, 1256, 39591, 37
153, 33188, 1263, 53680, 42, 33138, 1263, 53630, 18, 33188, 1263, 53680, 17, 33079, 1263, 53562, 96
154, 33203, 1494, 54427, 60, 33181, 1494, 54405, 18, 33203, 1494, 54427, 17, 33142, 1494, 54355, 131
155, 33118, 1553, 55127, 54, 33099, 1553, 55108, 18, 33118, 1553, 55127, 17, 33074, 1553, 55078, 93
156, 33231, 1569, 55149, 67, 33211, 1569, 55129, 17, 33231, 1569, 55149, 16, 33202, 1569, 55120, 37
157, 26840, 1645, 43661, 34, 26830, 1645, 43651, 14, 26840, 1645, 43661, 13, 26822, 1645, 43642, 44
158, 49920, 1665, 77871, 96, 49908, 1665, 77859, 27, 49920, 1665, 77871, 26, 49881, 1665, 77821, 360
159, 30585, 1704, 50454, 42, 30578, 1704, 50447, 15, 30585, 1704, 50454, 15, 30576, 1704, 50445, 35
160, 40389, 1762, 65820, 71, 40376, 1762, 65807, 22, 40389, 1762, 65820, 22, 40365, 1762, 65795, 70
161, 72701, 1790, 115430, 111, 72697, 1790, 115426, 41, 72701, 1790, 115430, 41, 72695, 1790, 115424, 95
162, 21653, 1847, 35171, 26, 21652, 1847, 35170, 10, 21653, 1847, 35171, 11, 21652, 1847, 35170, 12
163, 117756, 1879, 165153, 158, 117756, 1879, 165153, 53, 63424, 1879, 109730, 896, 61396, 1879, 107489, 1912
164, 31121, 1898, 51113, 72, 31119, 1898, 51111, 16, 31121, 1898, 51113, 16, 31119, 1898, 51111, 19
165, 88728, 2041, 133625, 108, 88728, 2041, 133625, 44, 56384, 2041, 100928, 505, 55723, 2041, 100179, 1004
166, 4096, 2048, 24576, 23, 4096, 2048, 24576, 4, 4096, 2048, 24576, 4, 4096, 2048, 24576, 1
167, 4096, 2048, 24576, 24, 4096, 2048, 24576, 5, 4096, 2048, 24576, 3, 4096, 2048, 24576, 0
168, 111707, 2052, 160504, 191, 111707, 2052, 160504, 52, 63534, 2052, 111401, 778, 61956, 2052, 109689, 1133
169, 69988, 2162, 111804, 119, 69977, 2162, 111793, 40, 69988, 2162, 111804, 40, 69966, 2162, 111781, 134
170, 51896, 2171, 85550, 67, 51872, 2171, 85526, 28, 51896, 2171, 85550, 28, 51848, 2171, 85497, 177
171, 54351, 2182, 88211, 68, 54302, 2182, 88162, 30, 54351, 2182, 88211, 29, 54253, 2182, 88109, 99
172, 31754, 2202, 52875, 42, 31752, 2202, 52873, 16, 31754, 2202, 52875, 15, 31750, 2202, 52871, 37
173, 44934, 2319, 73727, 55, 44842, 2319, 73635, 23, 44934, 2319, 73727, 22, 44733, 2319, 73512, 126
174, 34479, 2344, 55494, 53, 34479, 2344, 55494, 14, 30488, 2344, 51503, 40, 30488, 2344, 51503, 33
175, 48833, 2493, 79987, 72, 48815, 2493, 79969, 27, 48833, 2493, 79987, 26, 48797, 2493, 79949, 118
176, 43073, 2868, 71276, 56, 43066, 2868, 71269, 24, 43073, 2868, 71276, 21, 43060, 2868, 71262, 74
177, 57551, 2973, 95381, 73, 57506, 2973, 95336, 32, 57551, 2973, 95381, 31, 57467, 2973, 95295, 107
178, 147718, 2992, 214176, 230, 147718, 2992, 214176, 73, 87304, 2992, 152511, 1532, 85440, 2992, 150471, 2566
179, 68464, 3001, 108732, 93, 68440, 3001, 108708, 38, 68464, 3001, 108732, 37, 68416, 3001, 108682, 129
180, 56023, 3017, 91399, 68, 56002, 3017, 91378, 29, 56023, 3017, 91399, 28, 55988, 3017, 91364, 64
181, 135543, 3033, 201803, 239, 135543, 3033, 201803, 68, 83303, 3033, 148896, 1018, 82128, 3033, 147605, 2068
182, 44482, 3222, 73419, 96, 44475, 3222, 73412, 25, 44482, 3222, 73419, 23, 44473, 3222, 73410, 79
183, 120866, 3224, 187312, 154, 120865, 3224, 187311, 67, 81571, 3224, 147715, 899, 81069, 3224, 147137, 1549
184, 47429, 3334, 79307, 60, 47424, 3334, 79302, 25, 47429, 3334, 79307, 23, 47422, 3334, 79300, 55
185, 66048, 3343, 110491, 116, 65762, 3343, 110205, 36, 66048, 3343, 110491, 31, 65464, 3343, 109879, 158
186, 68905, 3358, 113889, 124, 68879, 3358, 113863, 38, 68905, 3358, 113889, 37, 68858, 3358, 113841, 127
187, 63158, 3458, 107345, 88, 63157, 3458, 107344, 35, 63158, 3458, 107345, 34, 63157, 3458, 107344, 42
188, 70843, 3598, 117209, 138, 70835, 3598, 117201, 39, 70843, 3598, 117209, 38, 70834, 3598, 117200, 89
189, 172687, 3902, 255825, 239, 172687, 3902, 255825, 87, 106474, 3902, 188446, 1515, 104790, 3902, 186596, 3776
190, 158212, 3914, 240022, 252, 158212, 3914, 240022, 82, 101618, 3914, 182828, 1364, 100624, 3914, 181728, 1829
191, 85085, 3954, 138888, 111, 85075, 3954, 138878, 51, 85085, 3954, 138888, 51, 85068, 3954, 138870, 143
192, 72038, 4391, 115055, 93, 72008, 4391, 115025, 37, 72038, 4391, 115055, 36, 71983, 4391, 114998, 164
193, 17127, 4461, 27352, 25, 16731, 4377, 26956, 8, 17127, 4461, 27352, 5, 16669, 4338, 26894, 18
194, 196404, 4937, 300036, 335, 196404, 4937, 300036, 105, 128037, 4937, 231029, 2189, 126939, 4937, 229778, 3630
195, 89596, 4991, 148583, 169, 89548, 4991, 148535, 48, 89596, 4991, 148583, 46, 89495, 4991, 148478, 218
196, 204621, 5556, 318136, 303, 204621, 5556, 318136, 68, 137999, 5556, 250980, 2352, 137232, 5556, 250132, 3494
197, 235686, 6313, 366093, 387, 235685, 6313, 366092, 137, 158669, 6313, 288460, 3388, 157707, 6313, 287365, 6131
198, 27019, 10000, 39407, 59, 25332, 9672, 37720, 17, 27019, 10000, 39407, 8, 25020, 9471, 37408, 46
199, 18245, 17795, 36038, 71, 18245, 17795, 36038, 15, 18245, 17795, 36038, 4, 18245, 17795, 36038, 1
200, 18282, 17832, 36112, 85, 18282, 17832, 36112, 16, 18282, 17832, 36112, 8, 18282, 17832, 36112, 1
